vendor_id,person_id,person_name,role,appointed_on
V-0160,P-0262,T. Menon,Partner,2013-02-06
V-0161,P-0263,V. Shetty,Director,2019-01-10
V-0162,P-0264,B. Shetty,Director,2022-08-26
V-0163,P-0265,D. Pillai,Director,2025-11-05
V-0163,P-0266,H. Pillai,Director,2021-09-02
V-0163,P-0267,K. Naik,Authorised Signatory,2011-09-30
V-0164,P-0268,N. Shetty,Director,2015-08-15
V-0165,P-0269,R. Sahoo,Director,2014-06-13
V-0165,P-0270,R. Mehta,Authorised Signatory,2008-01-05
V-0165,P-0271,D. Kamath,Partner,2024-06-23
V-0166,P-0272,V. Kulkarni,Director,2017-12-08
V-0166,P-0273,N. Joshi,Director,2025-08-16
V-0167,P-0274,D. Mishra,Director,2018-12-22
V-0167,P-0275,K. Desai,Partner,2019-05-19
V-0168,P-0276,B. Nair,Director,2020-10-11
V-0169,P-0277,T. Sahoo,Director,2016-05-22
V-0169,P-0278,B. Menon,Partner,2020-06-04
V-0170,P-0279,N. Patil,Director,2015-03-25
V-0171,P-0280,G. Pillai,Director,2025-05-19
V-0171,P-0281,K. Reddy,Authorised Signatory,2024-02-24
V-0171,P-0282,T. Mehta,Partner,2021-08-01
V-0172,P-0283,M. Gowda,Director,2021-07-11
V-0173,P-0284,M. Menon,Director,2025-10-18
V-0174,P-0285,R. Joshi,Director,2021-07-01
V-0175,P-0286,N. Reddy,Director,2018-01-26
V-0176,P-0287,B. Kamath,Director,2020-10-11
V-0177,P-0288,M. Chauhan,Director,2020-09-26
V-0178,P-0289,B. Desai,Director,2024-11-07
V-0179,P-0290,T. Reddy,Director,2020-08-14
V-0179,P-0291,P. Mehta,Director,2022-02-23
V-0180,P-0292,K. Patil,Director,2018-04-17
V-0180,P-0293,B. Mehta,Authorised Signatory,2020-04-16
V-0181,P-0294,V. Sahoo,Director,2025-01-07
V-0181,P-0295,P. Kulkarni,Authorised Signatory,2021-02-26
V-0182,P-0296,S. Menon,Director,2024-12-31
V-0182,P-0297,A. Desai,Authorised Signatory,2024-01-25
V-0182,P-0298,N. Kamath,Authorised Signatory,2025-06-24
V-0183,P-0299,D. Patil,Director,2019-08-04
V-0183,P-0300,V. Kulkarni,Director,2020-03-17
V-0183,P-0301,D. Chauhan,Director,2021-07-25
V-0184,P-0302,P. Sharma,Director,2018-03-21
V-0184,P-0303,A. Nair,Authorised Signatory,2021-10-05
V-0185,P-0304,A. Rao,Director,2021-12-16
V-0186,P-0305,B. Naik,Director,2022-08-21
V-0186,P-0306,S. Rao,Partner,2021-07-28
V-0186,P-0307,G. Patil,Director,2012-12-07
V-0187,P-0308,K. Joshi,Director,2025-05-12
V-0187,P-0309,N. Menon,Authorised Signatory,2024-02-09
V-0188,P-0310,T. Mishra,Director,2025-11-18
V-0189,P-0311,P. Iyer,Director,2020-07-25
V-0190,P-0312,R. Joshi,Director,2016-06-12
V-0190,P-0313,B. Bhat,Partner,2017-05-17
V-0191,P-0314,T. Rao,Director,2026-05-27
V-0192,P-0315,A. Kulkarni,Director,2023-01-05
V-0193,P-0316,K. Pillai,Director,2007-04-05
V-0193,P-0317,P. Pillai,Authorised Signatory,2012-09-16
V-0193,P-0318,G. Sharma,Authorised Signatory,2006-09-13
V-0194,P-0319,N. Joshi,Director,2017-09-08
V-0194,P-0320,T. Reddy,Director,2019-02-06
V-0194,P-0321,B. Iyer,Director,2016-02-20
V-0195,P-0322,D. Kulkarni,Director,2023-05-22
V-0195,P-0323,P. Gowda,Authorised Signatory,2024-01-02
V-0196,P-0324,H. Sharma,Director,2018-04-30
V-0196,P-0325,M. Nair,Director,2026-05-22
V-0197,P-0326,H. Patil,Director,2025-02-12
V-0198,P-0327,B. Mehta,Director,2024-06-05
V-0198,P-0328,M. Kamath,Partner,2010-11-09
V-0198,P-0329,B. Chauhan,Authorised Signatory,2011-09-28
V-0199,P-0330,D. Patil,Director,2016-03-24
V-0199,P-0331,A. Kamath,Director,2016-07-25
V-0199,P-0332,M. Iyer,Authorised Signatory,2020-03-12
V-0200,P-0333,T. Rao,Director,2017-10-19
V-0201,P-0334,B. Bhat,Director,2026-04-09
V-0201,P-0335,V. Kamath,Director,2009-10-25
V-0202,P-0336,P. Sharma,Director,2019-06-21
V-0202,P-0337,M. Kulkarni,Director,2017-02-28
V-0203,P-0338,G. Pillai,Director,2015-06-18
V-0204,P-0339,D. Nair,Director,2008-10-23
V-0204,P-0340,P. Chauhan,Director,2019-11-11
V-0205,P-0341,M. Kulkarni,Director,2019-04-17
V-0205,P-0342,T. Patil,Partner,2021-11-14
V-0206,P-0343,A. Sharma,Director,2020-06-25
V-0207,P-0344,B. Pillai,Director,2025-05-05
V-0208,P-0345,T. Shetty,Director,2020-06-28
V-0209,P-0346,G. Rao,Director,2025-07-17
V-0210,P-0347,N. Iyer,Director,2026-03-13
V-0211,P-0348,G. Iyer,Director,2023-10-02
V-0212,P-0349,T. Reddy,Director,2019-11-23
V-0212,P-0350,S. Chauhan,Authorised Signatory,2023-10-27
V-0213,P-0351,S. Mishra,Director,2024-03-25
V-0213,P-0352,T. Reddy,Partner,2023-09-24
V-0213,P-0353,G. Sharma,Partner,2022-05-14
V-0214,P-0354,A. Mishra,Director,2026-06-05
V-0214,P-0355,S. Joshi,Director,2024-07-10
V-0215,P-0356,K. Kamath,Director,2021-05-30
V-0215,P-0357,T. Patil,Authorised Signatory,2021-03-06
V-0215,P-0358,A. Bhat,Director,2024-06-27
V-0216,P-0359,M. Joshi,Director,2020-10-05
V-0216,P-0360,M. Bhat,Authorised Signatory,2019-05-27
V-0216,P-0361,G. Sahoo,Authorised Signatory,2018-12-03
V-0217,P-0362,M. Chauhan,Director,2020-11-09
V-0217,P-0363,A. Gowda,Authorised Signatory,2026-04-03
V-0218,P-0364,P. Chauhan,Director,2021-11-12
V-0219,P-0365,V. Reddy,Director,2014-08-20
V-0219,P-0366,S. Iyer,Director,2010-09-18
V-0220,P-0367,P. Nair,Director,2018-01-08
V-0220,P-0368,P. Reddy,Authorised Signatory,2017-05-05
V-0220,P-0369,T. Desai,Partner,2015-10-05
V-0221,P-0370,D. Rao,Director,2009-12-31
V-0221,P-0371,D. Chauhan,Director,2018-02-05
V-0222,P-0372,B. Nair,Director,2024-02-23
V-0222,P-0373,V. Iyer,Partner,2026-09-05
V-0223,P-0374,B. Menon,Director,2024-08-05
V-0223,P-0375,G. Sahoo,Authorised Signatory,2013-10-04
V-0224,P-0376,A. Mehta,Director,2024-12-06
V-0224,P-0377,B. Pillai,Director,2018-02-14
V-0225,P-0378,S. Iyer,Director,2019-04-30
V-0225,P-0379,M. Mishra,Partner,2026-02-19
V-0226,P-0380,A. Pillai,Director,2024-03-03
V-0227,P-0381,V. Nair,Director,2023-09-03
V-0228,P-0382,N. Sahoo,Director,2026-05-10
V-0228,P-0383,V. Naik,Director,2017-01-07
V-0229,P-0384,S. Menon,Director,2021-06-24
V-0229,P-0385,G. Bhat,Authorised Signatory,2025-04-08
V-0230,P-0386,D. Menon,Director,2012-09-01
V-0231,P-0387,D. Reddy,Director,2024-12-18
V-0232,P-0388,K. Kamath,Director,2009-12-10
V-0232,P-0389,B. Sahoo,Partner,2013-01-10
V-0233,P-0390,R. Pillai,Director,2021-11-23
V-0234,P-0391,M. Sharma,Director,2024-07-21
V-0234,P-0392,R. Nair,Director,2025-09-11
V-0234,P-0393,S. Iyer,Director,2021-09-30
V-0235,P-0394,K. Rao,Director,2023-11-12
V-0236,P-0395,H. Menon,Director,2013-09-19
V-0237,P-0396,H. Mishra,Director,2025-01-22
V-0237,P-0397,V. Kulkarni,Partner,2022-12-31
V-0238,P-0398,M. Nair,Director,2023-08-24
V-0239,P-0399,N. Iyer,Director,2021-08-28
V-0239,P-0400,T. Kulkarni,Authorised Signatory,2024-08-19
V-0240,P-0401,G. Patil,Director,2021-03-24
V-0209,P-0402,V. Menon,Director,2021-04-06
V-0096,P-0402,V. Menon,Director,2019-04-10
V-0053,P-0403,R. Kulkarni,Director,2021-07-03
V-0102,P-0403,R. Kulkarni,Director,2019-04-30
V-0229,P-0403,R. Kulkarni,Director,2019-01-09
V-0033,P-0403,R. Kulkarni,Director,2020-02-24
V-0128,P-0404,A. Mishra,Director,2021-01-24
V-0187,P-0404,A. Mishra,Director,2019-01-24
V-S001,P-0405,K. Shetty,Director,2026-07-05
V-S001,P-0406,T. Patil,Authorised Signatory,2026-05-22
V-S002,P-0407,S. Reddy,Director,2025-04-23
V-S002,P-0408,T. Mishra,Authorised Signatory,2026-06-18
V-S002,P-0409,P. Mishra,Partner,2025-09-16
V-S003,P-0410,P. Rao,Director,2024-12-21
V-S003,P-0411,S. Pillai,Authorised Signatory,2026-08-16
V-S004,P-0412,G. Kulkarni,Director,2024-10-31
V-S005,P-0413,P. Bhat,Director,2025-07-20
V-S006,P-0414,A. Sharma,Director,2025-11-08
V-S007,P-0415,H. Rao,Director,2026-02-25
V-S007,P-0416,B. Kulkarni,Partner,2026-01-13
V-S008,P-0417,T. Kamath,Director,2026-08-08
V-S008,P-0418,N. Patil,Partner,2026-01-01
V-S009,P-0419,D. Desai,Director,2024-10-02
V-S010,P-0420,P. Joshi,Director,2026-05-08
V-Y001,P-0421,N. Desai,Director,2026-04-28
V-Y001,P-0422,V. Naik,Authorised Signatory,2026-04-29
V-Y002,P-0423,S. Gowda,Director,2026-07-20
V-Y002,P-0424,D. Desai,Partner,2026-01-14
V-Y002,P-0425,G. Pillai,Partner,2025-08-29
V-Y003,P-0426,A. Bhat,Director,2026-04-01
V-Y003,P-0427,A. Kulkarni,Partner,2025-01-09
V-Y004,P-0428,G. Joshi,Director,2025-10-16
V-Y004,P-0429,G. Reddy,Authorised Signatory,2026-02-06
V-Y004,P-0430,N. Desai,Partner,2026-02-23
V-Y005,P-0431,P. Iyer,Director,2025-05-11
V-Y005,P-0432,A. Menon,Director,2026-02-14
V-Y006,P-0433,M. Kamath,Director,2025-09-26
V-Y007,P-0434,R. Rao,Director,2025-06-23
V-Y007,P-0435,H. Mehta,Partner,2025-07-17
V-Y008,P-0436,A. Patil,Director,2025-11-06
V-Y008,P-0437,B. Kamath,Director,2026-09-07
V-SPV01,P-0438,A. Iyer,Director,2025-11-12
V-SPV01,P-0439,P. Naik,Director,2025-05-20
V-SPV01,P-0440,A. Kulkarni,Director,2025-11-23
