vendor_id,legal_name,pan,gstin,home_state,categories,incorporation_date,paid_up_capital,annual_turnover,size_tier,address_building_id,address_unit_id,address_unit_share_count,address_building_share_count,phone,email,bank_account,has_website,has_employee_records,registry_status,struck_off_date,msme_registered,startup_registered,is_govt_owned,is_spv,activity_code
V-0030,Bharat Associates Ltd,AACPS3389H,16AACPS3389H1Z2,RJ,medical_supplies|laptops_it|water_pipeline,2006-02-24,2236502.63,27526816.03,small,ADDR-BLD-6482,ADDR-BLD-6482-U32,1,1,9688313122,contact@gmail.example,ACCT-188166,1,1,active,,1,0,0,0,laptops_it
V-0031,Utkal Corporation & Co,AAFPS8417K,12AAFPS8417K1Z3,KL,water_pipeline,2021-02-26,2044092.67,12943198.66,small,ADDR-BLD-1837,ADDR-BLD-1837-U1,1,1,9975769349,contact@gmail.example,ACCT-676850,0,1,active,,1,0,0,0,water_pipeline
V-0032,Hemant Public Sector Corporation Ltd,AAFPS6124K,30AAFPS6124K1Z1,IN,water_pipeline,2013-09-21,6060496.16,40081568.9,mid,ADDR-BLD-2734,ADDR-BLD-2734-U15,1,1,9470534101,contact@v0032.example,ACCT-458163,1,1,active,,0,0,1,0,water_pipeline
V-0033,Hemant Supplies Pvt Ltd,AAEPS1852B,13AAEPS1852B1Z0,IN,water_pipeline|laptops_it|school_uniforms,2019-04-07,1048055.03,12929772.23,small,ADDR-BLD-2189,ADDR-BLD-2189-U7,1,1,9626576995,contact@gmail.example,ACCT-942163,0,1,active,,0,0,0,0,laptops_it
V-0034,Chetak Traders,AAHPS7054H,27AAHPS7054H1Z2,KA,laptops_it,2010-08-01,461710.43,3863623.74,micro,ADDR-BLD-3259,ADDR-BLD-3259-U34,1,1,9558502467,contact@v0034.example,ACCT-201190,0,0,active,,0,0,0,0,laptops_it
V-0035,Indra Ventures Ltd,AACPS6516K,15AACPS6516K1Z7,MH,drugs_generic,2007-01-19,1385317.44,7516921.21,small,ADDR-BLD-1843,ADDR-BLD-1843-U38,1,1,9008811220,filings@sahaytaconsultants.example,ACCT-879160,0,1,active,,1,0,0,0,drugs_generic
V-0036,Indra Projects Ltd,AAEPS8735A,35AAEPS8735A1Z7,MH,building_construction,2008-08-05,17061982.27,98859457.27,mid,ADDR-BLD-4350,ADDR-BLD-4350-U31,1,1,9601018392,contact@v0036.example,ACCT-282218,1,1,active,,0,0,0,0,building_construction
V-0037,Eshan Solutions Private Limited,AAEPS9425D,26AAEPS9425D1Z8,OD,ambulance_vehicle,2007-11-01,364110.47,2218791.23,micro,ADDR-BLD-1399,ADDR-BLD-1399-U40,1,1,9503291614,contact@v0037.example,ACCT-238725,0,0,active,,1,0,0,0,ambulance_vehicle
V-0038,Yuvan Supplies,AACPS6863J,16AACPS6863J1Z6,MH,biomedical_service,2019-06-26,477698.53,3218379.75,micro,ADDR-BLD-3508,ADDR-BLD-3508-U30,1,1,9871388611,contact@gmail.example,ACCT-323393,0,1,active,,1,0,0,0,biomedical_service
V-0039,Tarang Traders LLP,AACPS1350D,21AACPS1350D1Z0,OD,drugs_generic,2009-04-29,1558322.79,17412187.67,small,ADDR-BLD-6857,ADDR-BLD-6857-U11,1,1,9349435056,contact@v0039.example,ACCT-609001,0,1,active,,1,0,0,0,drugs_generic
V-0040,Nandi Services LLP,AAAPS7185D,28AAAPS7185D1Z0,KL,security_services,2018-05-19,420696.73,3534453.93,micro,ADDR-BLD-7230,ADDR-BLD-7230-U40,1,1,9558121629,contact@gmail.example,ACCT-759211,0,0,active,,1,0,0,0,security_services
V-0041,Garuda Agencies Private Limited,AAHPS8177F,29AAHPS8177F1Z3,RJ,sanitation_services,2014-04-06,179164.8,2070996.21,micro,ADDR-BLD-9001,ADDR-BLD-9001-U23,2,49,9008811220,contact@gmail.example,ACCT-125988,1,1,active,,1,0,0,0,sanitation_services
V-0042,Pragati Systems Private Limited,AAAPS3641K,21AAAPS3641K1Z8,RJ,road_resurfacing|building_construction|medical_supplies,2008-09-06,198653.27,2332062.99,micro,ADDR-BLD-7789,ADDR-BLD-7789-U3,1,1,9688313122,contact@v0042.example,ACCT-738414,0,0,active,,0,0,0,0,medical_supplies
V-0043,Anant Agencies Pvt Ltd,AADPS9889F,20AADPS9889F1Z7,OD,medical_supplies,2015-12-10,4780699.86,62222194.05,mid,ADDR-BLD-3942,ADDR-BLD-3942-U32,1,1,9181762352,contact@v0043.example,ACCT-142818,1,1,active,,0,0,0,0,medical_supplies
V-0044,Pragati Contractors Private Limited,AACPS6189J,20AACPS6189J1Z0,MH,building_construction,2011-06-15,2311101.99,18566270.29,small,ADDR-BLD-8013,ADDR-BLD-8013-U29,1,1,9223286516,contact@v0044.example,ACCT-916363,0,1,active,,1,0,0,0,building_construction
V-0045,Oja Traders,AAGPS8187H,37AAGPS8187H1Z3,KA,security_services|biomedical_service,2012-12-05,1762368.9,15485664.41,small,ADDR-BLD-6457,ADDR-BLD-6457-U20,1,1,9718536461,contact@v0045.example,ACCT-814223,0,1,active,,1,0,0,0,security_services
V-0046,Shakti Associates Pvt Ltd,AAGPS3268C,13AAGPS3268C1Z3,KA,school_uniforms|laptops_it,2019-07-31,16960239.52,211453763.76,mid,ADDR-BLD-9001,ADDR-BLD-9001-U15,1,49,9774455579,contact@gmail.example,ACCT-740120,1,1,active,,0,0,0,0,school_uniforms
V-0047,Mandar Supplies Pvt Ltd,AAFPS2830G,34AAFPS2830G1Z3,OD,drugs_generic,2021-09-19,210384.59,1963159.23,micro,ADDR-BLD-3618,ADDR-BLD-3618-U13,1,1,9151896828,contact@gmail.example,ACCT-390717,0,0,active,,0,0,0,0,drugs_generic
V-0048,Nandi Industries Private Limited,AAEPS5794E,19AAEPS5794E1Z3,OD,road_resurfacing|security_services,2010-01-07,221680.37,2447331.66,micro,ADDR-BLD-6874,ADDR-BLD-6874-U13,1,1,9008811220,filings@sahaytaconsultants.example,ACCT-860301,0,1,active,,1,0,0,0,security_services
V-0049,Vayu Builders Private Limited,AAGPS5791J,26AAGPS5791J1Z8,KA,sanitation_services,2020-08-27,67722806.55,927448780.32,large,ADDR-BLD-1002,ADDR-BLD-1002-U35,1,1,9108386918,contact@v0049.example,ACCT-207970,1,1,active,,0,0,0,0,sanitation_services
V-0050,Garuda Traders,AAAPS7672C,11AAAPS7672C1Z9,MH,drugs_generic,2024-04-13,10433949.61,102938026.85,mid,ADDR-BLD-7127,ADDR-BLD-7127-U15,1,1,9588318708,contact@v0050.example,ACCT-488209,1,1,active,,0,0,0,0,drugs_generic
V-0051,Dhruva Infra LLP,AACPS4958J,10AACPS4958J1Z6,RJ,building_construction|ambulance_vehicle|drugs_generic,2024-03-02,890477.32,12224058.23,small,ADDR-BLD-2969,ADDR-BLD-2969-U3,1,1,9544783603,contact@v0051.example,ACCT-595914,1,1,active,,1,0,0,0,ambulance_vehicle
V-0052,Rudra Traders Private Limited,AAEPS2747F,34AAEPS2747F1Z6,MH,building_construction,2012-09-21,2342030.75,18187371.11,small,ADDR-BLD-5235,ADDR-BLD-5235-U33,1,1,9642738924,contact@gmail.example,ACCT-331895,1,1,active,,1,0,0,0,building_construction
V-0053,Ishan Agencies Pvt Ltd,AAEPS6435E,12AAEPS6435E1Z2,IN,water_pipeline,2006-05-24,218970.56,1132037.39,micro,ADDR-BLD-6622,ADDR-BLD-6622-U38,1,1,9478121633,contact@v0053.example,ACCT-249639,0,1,active,,0,0,0,0,water_pipeline
V-0054,Utkal Industries & Co,AAFPS1453B,36AAFPS1453B1Z5,KL,medical_supplies,2010-10-22,15891880.85,202523131.49,mid,ADDR-BLD-2155,ADDR-BLD-2155-U24,1,1,9568039228,contact@v0054.example,ACCT-456678,1,1,active,,0,0,0,0,medical_supplies
V-0055,Chetak Corporation Pvt Ltd,AAAPS6082H,25AAAPS6082H1Z2,RJ,office_furniture,2016-10-17,1862851.14,9319125.31,small,ADDR-BLD-4048,ADDR-BLD-4048-U28,1,1,9697647521,contact@gmail.example,ACCT-278292,0,1,active,,0,0,0,0,office_furniture
V-0056,Mandar Works,AACPS3956G,13AACPS3956G1Z9,IN,office_furniture|borewell_drilling|drugs_generic,2008-07-08,789479.0,5224398.95,small,ADDR-BLD-9001,ADDR-BLD-9001-U21,1,49,9852528871,contact@v0056.example,ACCT-674686,0,1,active,,0,0,0,0,borewell_drilling
V-0057,Rudra Builders LLP,AAEPS2882H,22AAEPS2882H1Z1,OD,road_resurfacing,2008-08-18,848238.68,3561443.59,small,ADDR-BLD-6824,ADDR-BLD-6824-U3,1,1,9794487286,contact@v0057.example,ACCT-181833,0,1,active,,0,0,0,0,road_resurfacing
V-0058,Indra Associates & Co,AACPS9675C,36AACPS9675C1Z9,OD,borewell_drilling|school_uniforms,2009-03-26,18794404.15,163828266.68,mid,ADDR-BLD-5676,ADDR-BLD-5676-U17,1,1,9390373381,contact@gmail.example,ACCT-531025,1,1,active,,0,0,0,0,school_uniforms
V-0059,Trishul Associates & Co,AACPS2561C,20AACPS2561C1Z6,KL,water_pipeline,2024-04-22,7012699.73,67251934.25,mid,ADDR-BLD-8884,ADDR-BLD-8884-U6,1,1,9423035543,contact@gmail.example,ACCT-947004,1,1,active,,0,1,0,0,water_pipeline
V-0060,Ujjwal Contractors Ltd,AAHPS1747H,31AAHPS1747H1Z1,RJ,drugs_generic,2010-06-20,310421.59,1768072.14,micro,ADDR-BLD-6603,ADDR-BLD-6603-U9,1,1,9546799438,contact@v0060.example,ACCT-560203,0,1,active,,1,0,0,0,drugs_generic
V-0061,Arka Corporation,AAGPS7353A,34AAGPS7353A1Z9,KA,biomedical_service|water_pipeline|solar_streetlight,2016-07-03,1572099.03,15817076.76,small,ADDR-BLD-8969,ADDR-BLD-8969-U39,1,2,9756815339,contact@v0061.example,ACCT-860928,0,1,active,,0,0,0,0,water_pipeline
V-0062,Garuda Works & Co,AACPS3264J,22AACPS3264J1Z0,KA,security_services,2011-12-10,1036999.81,7741907.81,small,ADDR-BLD-4831,ADDR-BLD-4831-U26,1,1,9518510370,contact@v0062.example,ACCT-210576,0,1,active,,1,0,0,0,security_services
V-0063,Charan Corporation & Co,AAFPS9251K,22AAFPS9251K1Z3,IN,sanitation_services|school_uniforms,2009-12-29,599447.95,6418867.92,small,ADDR-BLD-7802,ADDR-BLD-7802-U39,1,1,9497926344,contact@v0063.example,ACCT-480544,0,1,active,,1,0,0,0,sanitation_services
V-0064,Indra Systems Pvt Ltd,AAEPS1912F,34AAEPS1912F1Z9,OD,laptops_it|office_furniture,2019-09-19,1426810.71,11349131.49,small,ADDR-BLD-8839,ADDR-BLD-8839-U14,1,1,9008811220,filings@sahaytaconsultants.example,ACCT-558303,0,1,active,,1,0,0,0,office_furniture
V-0065,Tarang Ventures Private Limited,AAAPS2141H,12AAAPS2141H1Z6,MH,drugs_generic,2022-06-06,14156057.41,93476895.83,mid,ADDR-BLD-4795,ADDR-BLD-4795-U23,1,1,9669461354,contact@v0065.example,ACCT-331534,1,1,active,,0,0,0,0,drugs_generic
V-0066,Amba Services Ltd,AABPS4487C,28AABPS4487C1Z7,KA,school_uniforms,2016-12-08,122752.54,405432.63,micro,ADDR-BLD-6709,ADDR-BLD-6709-U14,1,1,9919321780,contact@gmail.example,ACCT-508184,0,0,active,,1,0,0,0,school_uniforms
V-0067,Ekta Ventures Ltd,AAFPS8852K,33AAFPS8852K1Z4,IN,medical_supplies,2018-03-21,418856.89,3196823.61,micro,ADDR-BLD-2958,ADDR-BLD-2958-U27,1,1,9783560468,contact@v0067.example,ACCT-383570,1,0,active,,0,0,0,0,medical_supplies
V-0068,Jyoti Technologies Ltd,AACPS8195E,17AACPS8195E1Z6,KL,medical_supplies,2012-06-17,15182865.51,70045966.04,mid,ADDR-BLD-8594,ADDR-BLD-8594-U35,1,1,9657226405,contact@v0068.example,ACCT-973595,1,1,active,,0,0,0,0,medical_supplies
V-0069,Deep Supplies Private Limited,AAGPS8739E,18AAGPS8739E1Z4,KA,medical_supplies|security_services|borewell_drilling,2010-01-01,186855.11,2071136.31,micro,ADDR-BLD-8249,ADDR-BLD-8249-U16,1,1,9239628020,contact@v0069.example,ACCT-258566,0,1,active,,0,0,0,0,borewell_drilling
V-0070,Nandi Ventures Pvt Ltd,AAAPS4683A,14AAAPS4683A1Z5,MH,ambulance_vehicle,2006-07-10,285960.22,2011489.25,micro,ADDR-BLD-5782,ADDR-BLD-5782-U32,1,1,9212719678,contact@v0070.example,ACCT-403984,1,0,active,,0,0,0,0,ambulance_vehicle
V-0071,Girija Ventures Pvt Ltd,AAAPS9785K,29AAAPS9785K1Z6,IN,water_pipeline|solar_streetlight|laptops_it,2017-01-21,2415145.44,8508277.93,small,ADDR-BLD-3494,ADDR-BLD-3494-U30,1,2,9126679072,contact@gmail.example,ACCT-558438,1,1,active,,0,0,0,0,laptops_it
V-0072,Nirmal Enterprises LLP,AAGPS1636D,13AAGPS1636D1Z1,OD,building_construction|ambulance_vehicle|water_pipeline,2010-02-26,149362.47,583403.82,micro,ADDR-BLD-6408,ADDR-BLD-6408-U35,1,1,9662687508,contact@gmail.example,ACCT-396501,1,0,active,,1,0,0,0,ambulance_vehicle
V-0073,Indra Corporation Private Limited,AADPS6992A,27AADPS6992A1Z4,MH,ambulance_vehicle|sanitation_services,2021-01-13,293302.09,856714.74,micro,ADDR-BLD-7457,ADDR-BLD-7457-U38,1,1,9451528362,contact@v0073.example,ACCT-110674,1,1,active,,1,0,0,0,ambulance_vehicle
V-0074,Devi Roadways,AAEPS9808F,20AAEPS9808F1Z8,RJ,biomedical_service,2013-11-15,1248542.41,6163321.04,small,ADDR-BLD-2285,ADDR-BLD-2285-U14,1,1,9982245804,contact@v0074.example,ACCT-755096,0,1,active,,0,0,0,0,biomedical_service
V-0075,Oja Technologies,AADPS5285H,37AADPS5285H1Z5,RJ,biomedical_service,2013-11-29,820005.69,7966433.36,small,ADDR-BLD-4435,ADDR-BLD-4435-U27,1,1,9601222224,contact@gmail.example,ACCT-441759,1,1,active,,1,0,0,0,biomedical_service
V-0076,Tarang Constructions,AADPS7577F,18AADPS7577F1Z9,RJ,laptops_it|road_resurfacing|ambulance_vehicle,2008-08-18,173872720.53,780909241.69,large,ADDR-BLD-5252,ADDR-BLD-5252-U8,1,1,9938022470,contact@gmail.example,ACCT-819600,0,1,active,,0,0,0,0,ambulance_vehicle
V-0077,Zenith Supplies & Co,AADPS4641J,24AADPS4641J1Z4,KL,solar_streetlight,2014-07-29,273607.13,3176183.57,micro,ADDR-BLD-3955,ADDR-BLD-3955-U1,1,1,9818441629,contact@v0077.example,ACCT-617795,1,0,active,,1,0,0,0,solar_streetlight
V-0078,Kalpa Enterprises & Co,AAAPS8430K,23AAAPS8430K1Z1,OD,office_furniture|sanitation_services|water_pipeline,2010-11-07,1612075.7,10255244.84,small,ADDR-BLD-8512,ADDR-BLD-8512-U19,1,1,9623389664,contact@gmail.example,ACCT-276119,0,0,active,,1,0,0,0,office_furniture
V-0079,Falgun Traders Ltd,AADPS8126C,30AADPS8126C1Z4,MH,building_construction|biomedical_service,2019-06-17,1114633.59,6740809.37,small,ADDR-BLD-6434,ADDR-BLD-6434-U27,1,1,9287968358,contact@v0079.example,ACCT-403569,0,1,active,,0,0,0,0,building_construction
V-0080,Nirmal Associates,AADPS6461C,16AADPS6461C1Z3,KL,building_construction,2009-09-03,1560170.81,20811465.87,small,ADDR-BLD-7017,ADDR-BLD-7017-U16,3,3,9389494904,contact@gmail.example,ACCT-INTERMED-77001,1,1,active,,0,0,0,0,building_construction
V-0081,Amba Associates Pvt Ltd,AAAPS8876F,22AAAPS8876F1Z9,IN,water_pipeline,2023-01-06,434423.91,5598002.73,micro,ADDR-BLD-7082,ADDR-BLD-7082-U23,1,1,9474122299,contact@v0081.example,ACCT-403969,0,1,active,,1,0,0,0,water_pipeline
V-0082,Kaveri Systems Pvt Ltd,AAAPS8438F,34AAAPS8438F1Z4,IN,security_services|sanitation_services,2009-09-25,332239.13,3923734.26,micro,ADDR-BLD-3295,ADDR-BLD-3295-U14,1,1,9739452513,contact@v0082.example,ACCT-801157,0,1,active,,0,0,0,0,security_services
V-0083,Jyoti Infra Private Limited,AADPS3039E,18AADPS3039E1Z5,IN,sanitation_services|drugs_generic|security_services,2018-06-17,239939.09,1723999.66,micro,ADDR-BLD-2637,ADDR-BLD-2637-U10,1,1,9137847863,contact@gmail.example,ACCT-735166,0,0,active,,1,0,0,0,security_services
V-0084,Dhruva Agencies Private Limited,AAAPS6452D,35AAAPS6452D1Z7,MH,solar_streetlight|drugs_generic,2011-08-07,440279.6,5045312.65,micro,ADDR-BLD-2773,ADDR-BLD-2773-U5,1,1,9414096924,contact@v0084.example,ACCT-815107,0,1,active,,1,0,0,0,drugs_generic
V-0085,Vidhi Associates LLP,AACPS1221F,16AACPS1221F1Z6,OD,drugs_generic|office_furniture|building_construction,2020-06-11,952983.07,10503191.61,small,ADDR-BLD-4371,ADDR-BLD-4371-U34,1,1,9699776756,contact@v0085.example,ACCT-198495,0,1,active,,1,0,0,0,drugs_generic
V-0086,Oja Engineering Private Limited,AABPS7163H,22AABPS7163H1Z9,OD,building_construction|security_services,2019-11-15,58967212.81,647031490.46,large,ADDR-BLD-5530,ADDR-BLD-5530-U12,1,1,9449925419,contact@gmail.example,ACCT-577709,1,1,active,,0,0,0,0,security_services
V-0087,Meru Agencies Pvt Ltd,AAAPS2203E,31AAAPS2203E1Z3,OD,solar_streetlight|medical_supplies|office_furniture,2010-01-19,743614.97,6350637.68,small,ADDR-BLD-2822,ADDR-BLD-2822-U18,1,1,9390111277,contact@v0087.example,ACCT-125160,0,1,active,,1,0,0,0,medical_supplies
V-0088,Sagar Corporation,AADPS2624J,35AADPS2624J1Z1,RJ,sanitation_services|road_resurfacing,2006-11-26,805005.65,6508720.19,small,ADDR-BLD-7022,ADDR-BLD-7022-U8,1,1,9008811220,filings@sahaytaconsultants.example,ACCT-408304,0,0,active,,1,0,0,0,road_resurfacing
V-0089,Lakshmi Supplies,AABPS4410F,14AABPS4410F1Z9,OD,drugs_generic,2014-07-17,247317315.34,2538469474.44,large,ADDR-BLD-1678,ADDR-BLD-1678-U30,1,1,9964832279,contact@v0089.example,ACCT-586951,1,0,active,,0,0,0,0,drugs_generic
V-0090,Hemant Constructions Pvt Ltd,AAAPS2358K,26AAAPS2358K1Z5,RJ,solar_streetlight|borewell_drilling,2016-08-27,13456824.27,109300194.06,mid,ADDR-BLD-3070,ADDR-BLD-3070-U13,1,1,9207163781,contact@v0090.example,ACCT-771120,1,1,active,,0,0,0,0,borewell_drilling
V-0091,Vidhi Agencies & Co,AABPS1936E,30AABPS1936E1Z3,KA,laptops_it,2005-06-03,1046989.31,7637895.16,small,ADDR-BLD-8033,ADDR-BLD-8033-U11,1,1,9185003399,contact@v0091.example,ACCT-601353,1,1,active,,0,0,0,0,laptops_it
